GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Directory Content Maven Plugin,biz.gabrys.maven.plugins.directory.content.transform,XmlFileMetadataTransformer,0,58,0,2,0,13,0,4,0,3
Directory Content Maven Plugin,biz.gabrys.maven.plugins.directory.content.transform,TransformException,4,0,0,0,2,0,1,0,1,0
Directory Content Maven Plugin,biz.gabrys.maven.plugins.directory.content.transform,XsltTransformer,48,0,0,0,13,0,2,0,2,0
Directory Content Maven Plugin,biz.gabrys.maven.plugins.directory.content,AbstractTransformMojo,53,0,4,0,10,0,5,0,3,0
Directory Content Maven Plugin,biz.gabrys.maven.plugins.directory.content,CopyMojo,162,0,16,0,25,0,13,0,5,0
Directory Content Maven Plugin,biz.gabrys.maven.plugins.directory.content,TransformMetadataMojo,249,0,22,0,44,0,18,0,7,0
Directory Content Maven Plugin,biz.gabrys.maven.plugins.directory.content,AbstractPluginMojo,222,0,16,0,42,0,13,0,5,0
Directory Content Maven Plugin,biz.gabrys.maven.plugins.directory.content,TransformListMojo,198,0,18,0,36,0,16,0,7,0
Directory Content Maven Plugin,biz.gabrys.maven.plugins.directory.content.file,FileNameResolver,0,46,0,6,0,13,0,6,0,3
Directory Content Maven Plugin,biz.gabrys.maven.plugins.directory.content.file,DirectoryResolver,0,33,0,4,0,8,0,4,0,2
Directory Content Maven Plugin,biz.gabrys.maven.plugins.directory.content.file,FileMetadataFactory,12,104,1,3,2,21,2,4,1,3
Directory Content Maven Plugin,biz.gabrys.maven.plugins.directory.content.file,FileMetadata,0,45,0,0,0,19,0,13,0,13
Directory Content Maven Plugin,biz.gabrys.maven.plugins.directory.content.file,FileMetadataFactoryConfiguration,0,17,0,0,0,7,0,5,0,5
