GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Directory Content Maven Plugin,biz.gabrys.maven.plugins.directory.content.transform,XmlFileMetadataTransformer,0,58,0,2,0,13,0,4,0,3
Directory Content Maven Plugin,biz.gabrys.maven.plugins.directory.content.transform,TransformException,4,0,0,0,2,0,1,0,1,0
Directory Content Maven Plugin,biz.gabrys.maven.plugins.directory.content.transform,XsltTransformer,48,0,0,0,13,0,2,0,2,0
Directory Content Maven Plugin,biz.gabrys.maven.plugins.directory.content,AbstractTransformMojo,45,0,4,0,10,0,5,0,3,0
Directory Content Maven Plugin,biz.gabrys.maven.plugins.directory.content,CopyFileMojo,284,0,28,0,54,0,23,0,9,0
Directory Content Maven Plugin,biz.gabrys.maven.plugins.directory.content,CopyMojo,165,0,16,0,26,0,14,0,6,0
Directory Content Maven Plugin,biz.gabrys.maven.plugins.directory.content,TransformMetadataMojo,213,0,18,0,38,0,16,0,7,0
Directory Content Maven Plugin,biz.gabrys.maven.plugins.directory.content,AbstractPluginMojo,157,0,12,0,37,0,11,0,5,0
Directory Content Maven Plugin,biz.gabrys.maven.plugins.directory.content,TransformListMojo,191,0,18,0,37,0,16,0,7,0
Directory Content Maven Plugin,biz.gabrys.maven.plugins.directory.content.file,FileNameResolver,0,46,0,6,0,13,0,6,0,3
Directory Content Maven Plugin,biz.gabrys.maven.plugins.directory.content.file,DirectoryResolver,0,33,0,4,0,8,0,4,0,2
Directory Content Maven Plugin,biz.gabrys.maven.plugins.directory.content.file,FileMetadataFactory,12,104,1,3,2,21,2,4,1,3
Directory Content Maven Plugin,biz.gabrys.maven.plugins.directory.content.file,FileMetadata,0,45,0,0,0,19,0,13,0,13
Directory Content Maven Plugin,biz.gabrys.maven.plugins.directory.content.file,FileMetadataFactoryConfiguration,0,17,0,0,0,7,0,5,0,5
